id_depute|nom|prenom|lien|naissance_j|naissance_m|naissance_a|deces_j|deces_m|deces_a
15|Abeille|Valentin|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/15|14|2|1843|30|6|1902
16|Abel|Jean-Baptiste, Eugène|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/16|12|1|1863|30|9|1921
25|Abrial|Jean, Pierre, Léon|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/25|28|12|1836|4|2|1894
32|Adam|Achille, Gabriel, Louis|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/32|1|12|1859|15|12|1914
67|Alasseur|Alexandre, Augustin, dit Gustave|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/67|18|9|1843|3|6|1916
85|Alicot|Jean-Jacques, César, Eugène, Michel|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/85|17|7|1842|10|3|1912
5919|Alype dit Pierre-Alype|Louis|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/5919|24|2|1846|10|2|1906
116|Amodru|Laurent|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/116|9|10|1849|27|4|1930
188|Arène|Emmanuel|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/188|1|1|1856|14|7|1908
190|Argeliès|Jean-Baptiste, Justin, Joseph|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/190|28|7|1862|16|11|1914
195|Armez|Louis|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/195|19|7|1838|18|9|1917
205|Arnous|Marie,Gustave, Louis, Eugène|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/205|30|6|1846|11|9|1901
251|Audiffred|Jean-Honoré|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/251|12|12|1840|27|10|1917
267|Augé|Justin, Auguste|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/267|31|3|1850|2|1|1925
280|Auricoste|Noël|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/280|25|12|1844|4|10|1909
295|Avez|Félix, Alexandre|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/295|16|6|1858|12|1|1896
305|Aynard|Edouard|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/305|1|1|1837|25|6|1913
310|Babaud-Lacroze|Antoine, Pierre, Alfred, François|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/310|29|11|1846|20|6|1930
317|Bachimont|François|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/317|10|10|1844|16|5|1933
344|Balandreau|Marc, François, Eugène|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/344|19|9|1843|3|11|1916
358|Balsan|Charles|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/358|16|4|1838|4|2|1912
362|Bansard des Bois|Alfred, Alexandre|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/362|29|4|1848|26|9|1920
420|Barodet|Désiré, Jean|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/420|27|7|1823|18|4|1906
425|Baron|Jules|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/425|15|2|1885|10|7|1919
424|Baron|Gabriel, Charles, Esprit|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/424|23|12|1859|22|10|1928
451|Barthou|Louis|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/451|23|7|1862|9|10|1934
461|Bascou|Olivier, Eugène, Jules, Gustave|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/461|9|2|1865|2|10|1940
462|Basly|Emile, Joseph|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/462|29|3|1854|11|2|1928
470|Bastid|Adrien, Pierre, Rémy|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/470|1|10|1853|5|4|1903
482|Batiot|Georges, Pierre, Aimé|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/482|17|7|1845|24|12|1929
481|Batiot|Aristide, Armand, Constant|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/481|8|4|1843|3|2|1895
490|Baudin|Eugène|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/490|29|7|1853|11|4|1918
494|Baudon|Auguste, Théodore|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/494|4|7|1848|22|10|1913
502|Baulard|Jules, Ferdinand|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/502|11|2|1827|7|2|1910
3638|Bazile dit Guesde|Jules|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/3638|11|11|1845|28|7|1922
521|Bazille|Camille, Justin, Anatole|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/521|1|5|1854|1|2|1900
538|Beauquier|Charles|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/538|18|12|1833|12|7|1916
642|Bepmale|Jean, Eugène, Omer|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/642|1|9|1859|9|11|1921
648|Bérard|Ernest|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/648|29|10|1829|8|2|1914
647|Bérard|Alexandre, Octave|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/647|3|2|1859|20|4|1923
654|Berdoly|Martial|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/654|29|2|1844|23|9|1905
664|Berger|Georges, Paul, Louis|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/664|5|10|1834|8|7|1910
715|Berry|Georges, Jean-Baptiste, Marie|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/715|8|3|1855|9|4|1915
720|Berteaux|Maurice, Henry|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/720|3|6|1852|20|5|1911
726|Berthet|Louis, Jean|http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/726|22|7|1857|12|12|1896
